,Avg_FT_DPRRA,Avg_FT_RRA,,,l2Norm_DPRRA,l2Norm_RRA,,,Avg_CS_DPRRA,Avg_CS_RRA,,,Avg_TP_DPRRA,Avg_TP_RRA,,,Avg_TQ_DPRRA,Avg_TQ_RRA
1630,38.0951,9.46626,,1630,1759.33,436.866,,1630,1.50245,1.55706,,1630,0.0262501,0.105638,,1630,435.82,153
1655,43.6622,9.28157,,1655,1982.69,425.877,,1655,1.52628,1.52387,,1655,0.0229031,0.10774,,1655,473.091,161
1680,34.847,7.88393,,1680,1630.92,360.385,,1680,1.46786,1.50476,,1680,0.0286969,0.12684,,1680,447.439,167
1705,41.9349,9.46569,,1705,1956.1,443.58,,1705,1.54604,1.53138,,1705,0.0238465,0.105645,,1705,477.422,164
1730,43.8572,9.37283,,1730,2061.01,438.111,,1730,1.53064,1.49711,,1730,0.0228013,0.106691,,1730,506.784,173
1755,44.849,9.23533,,1755,2106.55,453.138,,1755,1.55954,1.49801,,1755,0.022297,0.10828,,1755,506.891,177
1780,47.7848,9.86292,,1780,2256.21,475.424,,1780,1.58764,1.5309,,1780,0.0209271,0.10139,,1780,519.461,171
1805,43.5651,9.49197,,1805,2085.77,457.055,,1805,1.53296,1.49972,,1805,0.0229542,0.105352,,1805,523.852,180
1830,47.3749,9.5224,,1830,2515.69,463.493,,1830,1.5847,1.52568,,1830,0.0211082,0.105015,,1830,522.52,177
1855,44.242,8.67385,,1855,2180.59,415.355,,1855,1.55418,1.49811,,1855,0.0226029,0.115289,,1855,541.417,187
1880,46.7505,9.18777,,1880,2317.42,447.903,,1880,1.5867,1.49947,,1880,0.0213901,0.10884,,1880,542.787,193
1905,40.7638,9.49081,,1905,2012.17,474.333,,1905,1.53333,1.49764,,1905,0.0245316,0.105365,,1905,527.661,196
1930,50.9295,9.2342,,1930,3944.88,462.999,,1930,1.53627,1.51451,,1930,0.019635,0.108293,,1930,571.24,188
1955,33.1724,8.21893,,1955,1587.31,405.694,,1955,1.47008,1.49821,,1955,0.0301456,0.12167,,1955,534.682,203
1980,64.8924,8.67121,,1980,3943.26,432.979,,1980,1.66919,1.50051,,1980,0.0154101,0.115324,,1980,630.061,197
2005,43.1152,10.4908,,2005,2296.03,570.314,,2005,1.54963,1.51421,,2005,0.0231937,0.0953219,,2005,566.173,197
2030,30.7729,8.52118,,2030,1503.87,431.013,,2030,1.44828,1.49803,,2030,0.0324961,0.117355,,2030,532.347,205
2055,33.2701,9.76545,,2055,1618.89,523.658,,2055,1.47299,1.57275,,2055,0.030057,0.102402,,2055,523.313,189
2080,29.8909,9.80577,,2080,1501.1,510.259,,2080,1.45817,1.49952,,2080,0.033455,0.101981,,2080,530.944,209
2105,32.7786,9.48504,,2105,1657.83,490.461,,2105,1.47458,1.49691,,2105,0.0305077,0.105429,,2105,557.858,211
2130,34.4427,9.3493,,2130,1781.66,483.357,,2130,1.47653,1.49953,,2130,0.0290337,0.10696,,2130,572.004,215
2155,35.7248,9.85058,,2155,1796.71,555.213,,2155,1.48121,1.49977,,2155,0.0279917,0.101517,,2155,575.825,215
2180,32.5431,9.70505,,2180,1733.11,515.766,,2180,1.46881,1.53486,,2180,0.0307285,0.103039,,2180,559.583,210
2205,33.2639,9.50794,,2205,1694.91,514.489,,2205,1.4771,1.50023,,2205,0.0300626,0.105175,,2205,577.559,220
2230,46.3345,9.35695,,2230,2510.41,502.673,,2230,1.54395,1.53318,,2230,0.0215822,0.106872,,2230,633.333,214
2255,49.8062,9.4071,,2255,2771.36,505.795,,2255,1.55166,1.498,,2255,0.0200778,0.106303,,2255,679.452,227
2280,45.6684,9.74912,,2280,2468.92,531.451,,2280,1.53991,1.49868,,2280,0.021897,0.102573,,2280,667.742,229
2305,47.974,8.61041,,2305,2596.35,467.713,,2305,1.54317,1.54056,,2305,0.0208446,0.116138,,2305,676.73,221
2330,52.4142,9.66695,,2330,3116.59,541.976,,2330,1.56996,1.52017,,2330,0.0190788,0.103445,,2330,718.956,227
