#Processes;Avg_FT_RRA;l2Norm_RRA;Avg_CS_RRA;Avg_TP_RRA;Avg_TQ_RRA
6505;8.21076;762.866;1.49946;0.121791;658
6530;8.35436;787.039;1.52557;0.119698;635
6555;7.9254;751.365;1.49977;0.126177;666
6580;7.78663;712.858;1.50289;0.128425;655
6605;7.68221;703.481;1.50008;0.130171;660
6630;7.88024;723.438;1.51538;0.1269;651
6655;8.24388;767.19;1.50909;0.121302;658
6680;8.08413;767.582;1.49955;0.123699;667
6705;7.7129;710.23;1.49963;0.129653;680
6730;8.63566;815.071;1.49911;0.115799;680
6755;8.02902;749.007;1.49948;0.124548;686
6780;7.81858;726.9;1.50015;0.1279;677
6805;8.07641;753.534;1.50007;0.123817;680
6830;7.98155;744.403;1.49941;0.125289;683
6855;8.00773;753.952;1.50124;0.124879;683
6880;8.45363;800.553;1.49942;0.118292;699
6905;7.72962;725.19;1.49964;0.129373;691
6930;8.22799;796.295;1.5176;0.121536;681
6955;7.9445;789.782;1.49964;0.125873;700
6980;7.93983;759.946;1.50415;0.125947;695
7005;7.88522;767.018;1.51734;0.126819;689
7030;8.03755;768.622;1.50071;0.124416;702
7055;8.46563;822.465;1.49979;0.118125;716
7080;7.88503;764.062;1.50579;0.126823;703
7105;7.99747;765.428;1.49965;0.12504;710
7130;8.21094;800.464;1.49958;0.121789;720
7155;7.47841;709.407;1.50189;0.133718;713
7180;7.56393;719.649;1.50404;0.132206;715
7205;7.39112;698.555;1.49965;0.135298;724
7230;7.70775;736.657;1.50996;0.12974;714
7255;7.73728;744.128;1.50007;0.129244;730
7280;8.2967;812.259;1.49945;0.12053;728
7305;8.22546;800.092;1.50007;0.121574;736
7330;8.24638;812.495;1.50095;0.121265;731
7355;13.9104;1699.89;1.49993;0.0718887;735
7380;8.16802;806.221;1.5;0.122429;751
7405;7.83997;761.863;1.49953;0.127551;748
7430;7.7782;758.712;1.49879;0.128565;749
7455;7.97787;778.132;1.50248;0.125347;743
7480;8.68302;888.172;1.4992;0.115167;750
7505;8.79574;1035.13;1.52911;0.113691;729
7530;7.91408;775.146;1.49973;0.126357;754
7555;7.81853;766.394;1.50007;0.127901;765
7580;7.81108;796.268;1.52375;0.128023;739
7605;9.32768;1119.46;1.50467;0.107208;757
7630;8.33172;855.108;1.50197;0.120023;761
7655;7.98694;861.534;1.49967;0.125204;779
7680;7.83424;775.191;1.5013;0.127645;766
7705;7.93459;786.692;1.50668;0.12603;763
7730;7.8194;787.603;1.50155;0.127887;771
7755;8.5893;909.598;1.50277;0.116424;773
7780;7.80039;777.386;1.49949;0.128199;783
7805;7.87111;787.551;1.50173;0.127047;779
7830;7.75415;772.12;1.49936;0.128963;798
7855;8.27231;837.637;1.4993;0.120885;795
7880;7.65457;767.046;1.49937;0.130641;788
7905;7.81809;780.948;1.49994;0.127908;803
7930;8.00744;810.602;1.50656;0.124884;787
7955;7.70534;780.472;1.50798;0.12978;789
7980;8.19712;842.311;1.50815;0.121994;789
8005;8.15116;823.444;1.49969;0.122682;805
8030;10.5923;1826.73;1.49963;0.0944084;809
8055;8.31657;882.743;1.50006;0.120242;811
8080;8.77983;906.43;1.5;0.113897;812
8105;8.30561;859.5;1.51511;0.1204;797
8130;8.32239;885.749;1.49938;0.120158;818
8155;8.05138;823.916;1.49994;0.124202;816
8180;8.49878;887.507;1.49939;0.117664;818
8205;8.13309;851.52;1.50408;0.122955;816
8230;8.25857;851.608;1.50996;0.121086;813
8255;8.36875;892.475;1.50624;0.119492;819
8280;8.5593;885.447;1.51039;0.116832;819
8305;7.78254;799.056;1.51114;0.128493;821
8330;8.27599;880.994;1.5018;0.120831;830
8355;8.51933;952.129;1.50138;0.11738;833
8380;8.00728;825.809;1.51337;0.124886;827
8405;8.25699;895.777;1.49994;0.12111;851
8430;9.24437;1329.61;1.49976;0.108174;860
8455;7.44021;789.321;1.49982;0.134405;846
8480;7.46946;767.731;1.49929;0.133879;850
8505;10.1251;1781.81;1.50641;0.0987644;844
8530;8.09027;845.134;1.5;0.123605;856
8555;7.92051;828.962;1.50006;0.126254;857
8580;7.85513;819.812;1.49953;0.127305;859
8605;7.89808;828.725;1.49994;0.126613;869
8630;8.49096;941.055;1.5;0.117772;869
8655;7.80682;818.163;1.50168;0.128093;864
8680;8.35012;955.554;1.51682;0.119759;853
8705;8.19518;875.888;1.5104;0.122023;861
8730;8.13322;859.965;1.51501;0.122953;858
8755;8.74883;954.863;1.50143;0.114301;873
8780;8.45968;926.802;1.5156;0.118208;864
8805;8.10403;879.847;1.50006;0.123395;884
8830;8.10487;875.448;1.49966;0.123383;887
8855;8.22473;885.935;1.49983;0.121585;885
8880;8.38818;906.302;1.49966;0.119215;894
8905;8.27748;886.235;1.49983;0.12081;901
8930;7.86596;840.024;1.5;0.12713;896
8955;7.98593;862.913;1.511;0.12522;885
8980;7.72817;823.958;1.49944;0.129397;904
9005;8.70783;951.733;1.49961;0.114839;916
9030;8.20332;888.23;1.50554;0.121902;897
9055;8.64285;945.625;1.5016;0.115703;902
9080;7.91982;853.312;1.50176;0.126265;906
9105;8.09127;874.4;1.50346;0.12359;907
9130;7.97952;862.103;1.50066;0.125321;912
9155;8.39454;922.229;1.51633;0.119125;900
9180;8.4;944.572;1.49946;0.119048;920
9205;8.7673;976.5;1.50038;0.11406;919
9230;7.76273;838.168;1.50433;0.128821;917
9255;8.91518;991.698;1.49984;0.112168;933
9280;7.94407;887.443;1.5139;0.12588;914
9305;8.13616;900.333;1.51488;0.122908;914
9330;7.73762;839.282;1.50482;0.129239;928
9355;8.88284;1290.67;1.50379;0.112577;931
9380;8.00565;924.596;1.49904;0.124912;939
9405;8.56576;997.714;1.50005;0.116744;954
9430;9.21474;1113.06;1.50891;0.108522;934
9455;8.38043;954.63;1.50005;0.119326;946
9480;7.68924;842.748;1.5;0.130052;959
9505;8.08006;941.831;1.49974;0.123761;961
9530;7.78395;856.358;1.4999;0.12847;960
9555;7.39519;802.936;1.49984;0.135223;959
9580;7.52693;820.667;1.50616;0.132856;951
9605;8.03571;970.457;1.49964;0.124445;965
9630;8.46064;961.171;1.4999;0.118194;976
9655;8.23925;930.492;1.51787;0.12137;948
9680;8.09721;905.415;1.4999;0.123499;975
9705;12.803;2565.72;1.50077;0.0781068;969
9730;7.28818;811.752;1.5;0.137208;975
9755;9.26017;1054.05;1.50118;0.107989;973
9780;9.32137;1067.13;1.49969;0.10728;983
9805;7.73789;943.778;1.50362;0.129234;976
9830;8.06358;967.895;1.51129;0.124014;973
9855;8.61055;1050.06;1.5102;0.116137;974
9880;7.78877;884.02;1.4996;0.12839;998
9905;10.1504;1298.06;1.50631;0.098518;983
9930;7.43525;822.494;1.50534;0.134495;988
9955;8.11602;919.784;1.50437;0.123213;991
9980;8.15671;945.537;1.5006;0.122598;996
10005;8.08546;921.759;1.50255;0.123679;998
10030;8.09482;932.37;1.5016;0.123536;1001
10055;7.5995;853.937;1.49995;0.131588;1011
10080;8.54504;1035.49;1.5246;0.117027;984
10105;8.16893;982.677;1.49985;0.122415;1020
10130;8.58707;995.692;1.4997;0.116454;1019
10155;8.04284;912.291;1.51384;0.124334;1000
10180;8.01218;953.869;1.49971;0.12481;1032
10205;8.69035;1023.87;1.49956;0.11507;1036
10230;10.1692;1286.69;1.49951;0.0983361;1024
10255;7.61355;866.541;1.5139;0.131345;1009
10280;7.57043;889.083;1.49981;0.132093;1035
10305;8.46308;989.872;1.50005;0.11816;1031
10330;9.22982;1083.04;1.4999;0.108345;1034
10355;8.0534;964.509;1.49986;0.124171;1048
10380;8.4368;992.153;1.49971;0.118528;1051
10405;8.02874;933.53;1.49966;0.124553;1044
10430;7.87967;899.953;1.51486;0.126909;1024
10455;8.57676;1057.23;1.50454;0.116594;1040
10480;8.04523;933.378;1.50086;0.124297;1046
10505;8.66949;1027.19;1.50167;0.115347;1048
10530;9.48405;1150.92;1.49943;0.10544;1060
10555;7.53036;858.379;1.49967;0.132796;1065
10580;39.7705;5682.68;1.5224;0.0251443;1031
10605;8.42159;1006.06;1.49948;0.118742;1065
10630;7.92211;922.861;1.49972;0.126229;1063
10655;7.15026;1024.94;1.49995;0.139855;1067
10680;8.91582;1059.81;1.49991;0.11216;1073
10705;8.21298;1009.52;1.50005;0.121758;1084
10730;8.06915;941.543;1.49981;0.123929;1073
10755;8.16532;993.681;1.51065;0.122469;1063
10780;8.05213;939.135;1.50093;0.124191;1076
10805;8.446;1021.6;1.49995;0.118399;1083
10830;7.85974;926.598;1.5133;0.127231;1070
10855;9.3486;1163.89;1.50723;0.106968;1077
10880;8.31958;998.086;1.50322;0.120198;1084
10905;10.1906;1250.59;1.50197;0.0981292;1087
10930;8.41793;1010.7;1.49963;0.118794;1098
10955;8.43733;1016.75;1.49986;0.118521;1097
10980;8.50729;1107.03;1.5071;0.117546;1090
11005;7.17147;882.099;1.49995;0.139441;1106
11030;8.7495;1059.22;1.5;0.114292;1103
11055;7.94989;946.941;1.50158;0.125788;1103
11080;7.3204;853.21;1.50063;0.136605;1107
11105;7.46357;879.356;1.49986;0.133984;1115
11130;7.92552;947.947;1.52093;0.126175;1089
11155;8.16486;996.353;1.50704;0.122476;1107
11180;8.53462;1057.19;1.49955;0.11717;1130
11205;7.84552;931.305;1.49987;0.127461;1127
11230;8.1797;978.972;1.49973;0.122254;1139
11255;9.97059;1238.26;1.49951;0.100295;1135
11280;9.56294;1187.51;1.49991;0.10457;1130
11305;7.71269;917.414;1.50102;0.129656;1129
11330;7.97529;955.408;1.49974;0.125387;1141
11355;8.04747;972.352;1.49987;0.124263;1142
11380;7.77663;938.852;1.51098;0.12859;1126
11405;8.11293;1071.44;1.49961;0.12326;1148
11430;8.02082;984.601;1.49974;0.124675;1156
11455;8.22532;1004.57;1.5148;0.121576;1127
11480;9.2676;1144.69;1.49991;0.107903;1161
11505;8.27197;1009.89;1.51551;0.12089;1132
